Description,Date,Distance,Average Moving Speed,Max Speed
Altrincham to West Didsbury ,29/06/2012 17:50,6.34,15.6,24.77
West Didsbury to Altrincham ,2/7/2012 7:51:00,6.41,15.08,20.43
Altrincham to West Didsbury ,2/7/2012 17:44:00,6.49,14.93,23.79
West Didsbury to Altrincham ,3/7/2012 7:23:00,6.28,15.26,22.81
Altrincham to West Didsbury ,3/7/2012 17:49:00,6.35,15.15,27
West Didsbury to Altrincham ,4/7/2012 7:52:00,6.3,15.36,20.57
West Didsbury to Altrincham ,5/7/2012 7:53:00,1.01,12.97,19.87
Altrincham to Croft ,6/7/2012 17:45:00,13.11,12.67,27
Croft to West Didsbury ,8/7/2012 19:24:00,18.71,15.69,27.98
West Didsbury to Altrincham ,9/7/2012 7:51:00,6.44,14.64,22.39
Altrincham to West Didsbury ,9/7/2012 17:43:00,6.34,15.2,23.37
West Didsbury to Altrincham ,10/7/2012 7:55:00,6.47,14.11,21.13
Altrincham to West Didsbury ,10/7/2012 17:56:00,6.37,15.49,24.63
West Didsbury to Altrincham ,11/7/2012 7:53:00,6.46,14.12,23.51
Altrincham to West Didsbury ,11/7/2012 17:44:00,6.4,14.17,26.44
West Didsbury to Altrincham ,12/7/2012 7:52:00,6.42,14.84,20.29
West Didsbury to Altrincham ,16/07/2012 07:53,6.39,13.93,19.45
Altrincham to West Didsbury ,16/07/2012 17:57,6.39,15.12,26.86
West Didsbury to Altrincham ,17/07/2012 07:51,6.46,13.92,22.11
Altrincham to West Didsbury ,17/07/2012 17:42,6.33,15.79,27
West Didsbury to Altrincham ,19/07/2012 07:54,5.91,14.57,22.53
Altrincham to West Didsbury ,19/07/2012 17:41,6.34,16.03,25.47
West Didsbury to Altrincham ,20/07/2012 07:52,6.49,15.33,24.35
Altrincham to West Didsbury ,20/07/2012 17:36,6.31,15.56,24.63
West Didsbury to Altrincham ,23/07/2012 07:52,6.42,14.34,22.25
Altrincham to West Didsbury ,23/07/2012 18:06,6.34,16.23,25.75
